PXD040399	10117404	Rural hospitals' viability and strategic responses. 	Systemic LRG1 expression in melanoma is associated with disease progression and recurrence	LRG1, checkpoint inhibitor, melanoma, serum, systemic immune suppression	In 1989 the Catholic Health Association, in conjunction with the University of Iowa Center for Health Services Research, surveyed chief executive officers (CEOs) of rural hospitals regarding their hospital's viability and strategic behaviors and orientations. An extensive questionnaire was sent to the CEOs of all Catholic, all other religious not-for-profit, and all investor-owned rural hospitals, as well as to a 50 percent random sample of government and other not-for-profit rural hospitals. CEOs on average perceived that their hospital's viability relative to that of other rural hospitals was higher in 1989 than it had been in 1987. Ninety-four percent of hospitals whose CEOs perceived an increase in viability had been medium- or low-viability hospitals two years earlier. Thus, despite reports of deteriorating conditions for rural hospitals, rural hospital CEOs appeared to be relatively optimistic regarding their institution's viability. Changes in strategic direction accompanied these perceived increases in viability. The predominant strategic orientation adopted by rural hospitals in 1987 was that of the defender, but many hospitals that used this approach switched to the analyzer orientation by 1989. Significant shifts also occurred toward the reactor orientation from the analyzer and defender orientations. A greater percentage of hospitals with a perceived increase in viability between 1987 and 1989 altered their organizational role. The most common change for these hospitals was from limited care to basic care.
PXD040486	10222127	Ectopic overexpression of Drosophila lamin C is stage-specific lethal. 	Mepiquat chloride (DPC) is a white powder, odorless and stable chemical compound. Physiology and Proteomics Reveal the Regulatory Mechanism of DPC on Soybean	growth, mepilium, physiology, resilience1, soybean	To gain insight into the function of the developmentally regulated A-type lamins we transformed Drosophila melanogaster with a construct containing the hsp70 promoter followed by the Drosophila lamin C (an analog of vertebrate A-type lamins) cDNA. Lamin C was expressed ectopically after heat shock of embryos and localized to the nucleus. No phenotypic change was observed after lamin C expression in embryos that normally do not contain lamin C. However, ectopic expression of lamin C during most larval (but not pupal) stages stalled growth, inhibited ecdysteroid signaling (in particular during the larval-prepupal transition), resulted in development of melanotic tumors, and finally caused death. During pupation in control animals, when massive apoptosis of larval tissues takes place, lamin C is proteolyzed into a fragment with a size similar to that predicted by caspase cleavage. The ectopically expressed lamin C is identically cleaved, resulting in a large increase of the steady-state level of the lamin C fragment. A null mutation of the dcp-1 gene, one of the two known Drosophila caspase genes, also results in development of melanotic tumors and larval death, suggesting that the ectopically expressed lamin C inhibits apoptosis through competitive inhibition of caspase activity.
PXD043709	10563155	[Evaluation of the scientific activity through bibliometric indices]. 	Chemical acetylation of ligands and two-step digestion protocol for reducing co-digestion in affinity purification-mass spectrometry	GFP, Sulfo-NHS-Acetate, affinity purification, chemical acetylation, immunopurification, ligand, nanobody, streptavidin	The scope of bibliometric studies is the treatment and quantitative analysis of scientific publications. They belong to the so-called "social studies of science", and science policy constitutes one of its main applied fields. These studies efficiently complement the opinions and judgements of experts, thus providing objective and useful tools for evaluating the results of scientific activity. Nevertheless, given the impact that these evaluations have on the assignment of funding for research and even on the professional career of investigators, it becomes essential to know in detail the characteristics of bibliometric indicators and the limitations of their use. The Science Citation Index database is one of the most employed. In the case of biomedical research it is useful to analyze the most internationally visible scientific production, since it satisfactorily covers biomedical journals; however, clinical research with local interest published in Spanish journals is not included in that database. Widely employed bibliometric indicators are those measuring scientific activity through the number of publications, those based on the citations received by published studies and, in between them, the impact of journals. The impact factor is an indicator very used in bibliometric studies; though occasionally a high impact factor is assumed to reflect high quality, this indicator specifically measures visibility and diffusion of the works published by these journals rather than their scientific quality.
PXD052758	11549365	Solid-phase Mannich condensation of amines, aldehydes, and alkynes: investigation of diverse aldehyde inputs. 	Proteomic analysis of Tmem232-/- and wild type mice sperm	Proteomic analysis, Tmem232-/-, mice sperm	Terminal alkynes, secondary amines, and aldehydes undergo "solid-phase Mannich condensation". A set of diverse aldehyde inputs was examined. Aliphatic, aralkyl, aryl, and heteroaryl carboxaldehydes give good yields of Mannich adduct of high purity. Benzaldehydes containing electron-donating substituents that decrease the electrophilicity of the carbonyl center, or heteroaryl aldehydes that are similarly deactivated by resonance effects, do not undergo reaction.
PXD031015	1828340	Biosynthesis of the 67 kDa high affinity laminin receptor. 	Gut bacterial nutrient preferences quantified in vivo	Cecal Content, Isotope, Microbiome	High affinity interactions between cells and laminin are mediated, at least in part, by the 67 kDa laminin receptor (67 LR). A 37 kDa nascent polypeptide (37 LRP), predicted by a full length cDNA clone and obtained by in vitro translation of hybrid-selected laminin receptor mRNA, has been immunologically identified in cancer cell extracts as the putative precursor of the 67 LR. In this study, we used affinity purified antibodies developed against cDNA-deduced 37 LRP synthetic peptides in pulse chase experiments and demonstrated a precursor-product relationship between the 37 LRP and the 67 LR. Immunoblot, pulse chase and immunofluorescence experiments showed that transient transfection of the full length 37 LRP cDNA clone induced a dramatic increase in the synthesis of the 37 LRP but not of the mature 67 LR. We propose that the 67 LR results from the association of two gene products: the 37 LRP and a polypeptide yet to be identified.
PXD000699	18546472	Gene expansion in Trichomonas vaginalis: a case study on transmembrane cyclases. 	Trichomonas vaginalis         .	Con-A, Trichomonas vaginalis, trichomoniasis	The draft genome of Trichomonas vaginalis was recently published, but not much is known on why it has such a large genome. In part this size is due to many gene family expansions. For example we found over 100 members in the adenylyl cyclase family. About half are complete full length genes, and nearly half are initially confirmed to be pseudogenes, the remaining are either incomplete or the apparent result of assembly or sequencing problems. The family can be divided into two subgroups by sequence similarity. These can then be divided into functional and pseudo genes. Among all four of these sets the cyclase domain is very well conserved. We gave three possible hypotheses for that observation: a) Sequencing error or stop-codon read-through; b) Recency of duplication and mutation; c) The likelihood of functional pseudogene.
PXD020449	19155217	Ribosomal protein S19 interacts with macrophage migration inhibitory factor and attenuates its pro-inflammatory function. 	Interactomes of Macrophage migration inhibitory factor (MIF) and its homologue D-dopachrome tautomerase (D-DT )	D-DT, Interactome, MIF, NIH 3T3	Macrophage migration inhibitory factor (MIF) is a pleiotropic cytokine that has been implicated in the pathogenesis of inflammatory disorders such as infection, sepsis, and autoimmune disease. MIF exists preformed in cytoplasmic pools and exhibits an intrinsic tautomerase and oxidoreductase activity. MIF levels are elevated in the serum of animals and patients with infection or different inflammatory disorders. To elucidate how MIF actions are controlled, we searched for endogenous MIF-interacting proteins with the potential to interfere with key MIF functions. Using in vivo biotin-tagging and endogenous co-immunoprecipitation, the ribosomal protein S19 (RPS19) was identified as a novel MIF binding partner. Surface plasmon resonance and pulldown experiments with wild type and mutant MIF revealed a direct physical interaction of the two proteins (K(D) = 1.3 x 10(-6) m). As RPS19 is released in inflammatory lesions by apoptotic cells, we explored whether it affects MIF function and inhibits its binding to receptors CD74 and CXCR2. Low doses of RPS19 were found to strongly inhibit MIF-CD74 interaction. Furthermore, RPS19 significantly compromised CXCR2-dependent MIF-triggered adhesion of monocytes to endothelial cells under flow conditions. We, therefore, propose that RPS19 acts as an extracellular negative regulator of MIF.
PXD006484	20615873	Immune responses are characterized by specific shared immunoglobulin peptides that can be detected by proteomic techniques. 	Immune repertoire after immunization as seen by next generation sequencing and proteomics	Immune repertoire, NGS, immunization, immunoglobulins, proteogenomics	In the adaptive immune response, immunoglobulins develop that bind specifically to the antigens to which the organism was exposed. Immunoglobulins may bind to known or unknown antigens in a variety of diseases and have been used in the past to identify novel antigens for use as a biomarker. We propose that the immunoglobulins themselves could also be used as biomarkers in antibody-mediated disease. In this proteomic study, rats were immunized with one of two purified antigens, and immunoglobulins from pre- and postimmune sera were analyzed with nano-LC coupled mass spectrometry. It was found that the two treatment groups could be distinguished based on cluster analysis of the immunoglobulin peptides from the immune sera. In addition, we identified 684 specific peptides that were differentially present in one of the two treated groups. We could find an amino acid sequence for 44% of the features in the mass spectra by combining database-driven and de novo sequencing techniques. The latter were essential for sequence identification, as the more common database-driven approach suffers from a poor representation of immunoglobulins in the available databases. Our data show that the development of immunoglobulins during an immune response is not a fully random process, but that instead selection pressures exist that favor the best binding amino acid sequences, and that this selection is shared between different animals. This finding implies that immunoglobulin peptides could indeed be a powerful and easily accessible class of biomarkers.
PXD006148	21189417	Discovery of mouse spleen signaling responses to anthrax using label-free quantitative phosphoproteomics via mass spectrometry. 	Discovery of Mouse Spleen Signaling Responses to Anthrax using Label-Free Quantitative Phosphoproteomics via Mass Spectrometry	Anthrax, Label-Free, Phosphoproteomics, Spleen	Inhalational anthrax is caused by spores of the bacterium Bacillus anthracis (B. anthracis), and is an extremely dangerous disease that can kill unvaccinated victims within 2 weeks. Modern antibiotic-based therapy can increase the survival rate to ~50%, but only if administered presymptomatically (within 24-48 h of exposure). To discover host signaling responses to presymptomatic anthrax, label-free quantitative phosphoproteomics via liquid chromatography coupled to mass spectrometry was used to compare spleens from uninfected and spore-challenged mice over a 72 h time-course. Spleen proteins were denatured using urea, reduced using dithiothreitol, alkylated using iodoacetamide, and digested into peptides using trypsin, and the resulting phosphopeptides were enriched using titanium dioxide solid-phase extraction and analyzed by nano-liquid chromatography-Linear Trap Quadrupole-Orbitrap-MS(/MS). The fragment ion spectra were processed using DeconMSn and searched using both Mascot and SEQUEST resulting in 252,626 confident identifications of 6248 phosphopeptides (corresponding to 5782 phosphorylation sites). The precursor ion spectra were deisotoped using Decon2LS and aligned using MultiAlign resulting in the confident quantitation of 3265 of the identified phosphopeptides. ANOVAs were used to produce a q-value ranked list of host signaling responses. Late-stage (48-72 h postchallenge) Sterne strain (lethal) infections resulted in global alterations to the spleen phosphoproteome. In contrast, DeltaSterne strain (asymptomatic; missing the anthrax toxin) infections resulted in 188 (5.8%) significantly altered (q<0.05) phosphopeptides. Twenty-six highly tentative phosphorylation responses to early-stage (24 h postchallenge) anthrax were discovered (q<0.5), and ten of these originated from eight proteins that have known roles in the host immune response. These tentative early-anthrax host response signaling events within mouse spleens may translate into presymptomatic diagnostic biomarkers of human anthrax detectable within circulating immune cells, and could aid in the identification of pathogenic mechanisms and therapeutic targets.
PXD010215	21191032	Proteomic pathway analysis reveals inflammation increases myeloid-derived suppressor cell resistance to apoptosis. 	Proteomic Pathway Analysis Reveals Inflammation Increases Myeloid-Derived Suppressor Cell Resistance to Apoptosis	Apoptosis, Inflammation, MDSC	Myeloid-derived suppressor cells (MDSC) accumulate in patients and animals with cancer where they mediate systemic immune suppression and obstruct immune-based cancer therapies. We have previously demonstrated that inflammation, which frequently accompanies tumor onset and progression, increases the rate of accumulation and the suppressive potency of MDSC. To determine how inflammation enhances MDSC levels and activity we used mass spectrometry to identify proteins produced by MDSC induced in highly inflammatory settings. Proteomic pathway analysis identified the Fas pathway and caspase network proteins, leading us to hypothesize that inflammation enhances MDSC accumulation by increasing MDSC resistance to Fas-mediated apoptosis. The MS findings were validated and extended by biological studies. Using activated caspase 3 and caspase 8 as indicators of apoptosis, flow cytometry, confocal microscopy, and Western blot analyses demonstrated that inflammation-induced MDSC treated with a Fas agonist contain lower levels of activated caspases, suggesting that inflammation enhances resistance to Fas-mediated apoptosis. Resistance to Fas-mediated apoptosis was confirmed by viability studies of MDSC treated with a Fas agonist. These results suggest that an inflammatory environment, which is frequently present in tumor-bearing individuals, protects MDSC against extrinsic-induced apoptosis resulting in MDSC with a longer in vivo half-life, and may explain why MDSC accumulate more rapidly and to higher levels in inflammatory settings.
PXD041958	21285414	Quantitative tracking of isotope flows in proteomes of microbial communities. 	Quantitative Tracking of Isotope Flows in Proteomes of Microbial Communities	15N labeling, SIP, stable isotope	Stable isotope probing (SIP) has been used to track nutrient flows in microbial communities, but existing protein-based SIP methods capable of quantifying the degree of label incorporation into peptides and proteins have been demonstrated only by targeting usually less than 100 proteins per sample. Our method automatically (i) identifies the sequence of and (ii) quantifies the degree of heavy atom enrichment for thousands of proteins from microbial community proteome samples. These features make our method suitable for comparing isotopic differences between closely related protein sequences, and for detecting labeling patterns in low-abundance proteins or proteins derived from rare community members. The proteomic SIP method was validated using proteome samples of known stable isotope incorporation levels at 0.4%, ~50%, and ~98%. The method was then used to monitor incorporation of (15)N into established and regrowing microbial biofilms. The results indicate organism-specific migration patterns from established communities into regrowing communities and provide insights into metabolism during biofilm formation. The proteomic SIP method can be extended to many systems to track fluxes of (13)C or (15)N in microbial communities.
