PXD041383	39165974	Affinity purification mass spectrometry characterisation of the interactome of receptor tyrosine kinase proline-rich motifs in cancer. 	Characterization of the interactome of receptor tyrosine kinase proline rich motifs	cancer, receptor tyrosine kinase	Receptor tyrosine kinase (RTK) overexpression is linked to the development and progression of multiple cancers. RTKs are classically considered to initiate cytoplasmic signalling pathways via ligand-induced tyrosine phosphorylation, however recent evidence points to a second tier of signalling contingent on interactions mediated by the proline-rich motif (PRM) regions of non-activated RTKs. The presence of PRMs on the C-termini of >40 % of all RTKs and the abundance of PRM-binding proteins encoded by the human genome suggests that there is likely to be a large number of previously unexplored interactions which add to the RTK intracellular interactome. Here, we explore the RTK PRM interactome and its potential significance using affinity purification mass spectrometry and in silico enrichment analyses. Peptides comprising PRM-containing C-terminal tail regions of EGFR, FGFR2 and HER2 were used as bait to affinity purify bound proteins from different cancer cell line lysates. 490 unique interactors were identified, amongst which proteins with metabolic, homeostatic and migratory functions were overrepresented. This suggests that PRMs from RTKs may sustain a diverse interactome in cancer cells. Since RTK overexpression is common in cancer, RTK PRM-derived signalling may be an important, but as yet underexplored, contributor to negative cancer outcomes including resistance to kinase inhibitors.
PXD049705	39166471	DEAD-box RNA helicase RH20 positively regulates RNAi-based antiviral immunity in plants by associating with SGS3/RDR6 bodies. 	Proxitome profiling of a viral suppressors of RNA silencing identifies the DEAD-box RNA helicase RH20 as a positive regulator of antiviral RNA interference in Nicotiana benthamiana	DEAD-box RNA helicase RH20, Proxitome profiling, antiviral RNA interference, barley stripe mosaic virus, counter-defense, suppressor of gene silencing 3 (SGS3), viral suppressors of RNA silencing (VSR), gammab	RNA silencing plays a crucial role in defending against viral infections in diverse eukaryotic hosts. Despite extensive studies on core components of the antiviral RNAi pathway such as DCLs, AGOs and RDRs proteins, host factors involved in antiviral RNAi remain incompletely understood. In this study, we employed the proximity labelling approach to identify the host factors required for antiviral RNAi in Nicotiana benthamiana. Using the barley stripe mosaic virus (BSMV)-encoded gammab, a viral suppressor of RNA silencing (VSR), as the bait protein, we identified the DEAD-box RNA helicase RH20, a broadly conserved protein in plants and animals with a homologous human protein known as DDX5. We demonstrated the interaction between RH20 and BSMV gammab. Knockdown or knockout of RH20 attenuates the accumulation of viral small interfering RNAs, leading to increased susceptibility to BSMV, while overexpression of RH20 enhances resistance to BSMV, a process requiring the cytoplasmic localization and RNA-binding activity of RH20. In addition to BSMV, RH20 also negatively regulates the infection of several other positive-sense RNA viruses, suggesting the broad-spectrum antiviral activity of RH20. Mechanistic analysis revealed the colocalization and interaction of RH20 with SGS3/RDR6, and disruption of either SGS3 or RDR6 undermines the antiviral function of RH20, suggesting RH20 as a new component of the SGS3/RDR6 bodies. As a counter-defence, BSMV gammab VSR subverts the RH20-mediated antiviral defence by interfering with the RH20-SGS3 interaction. Our results uncover RH20 as a new positive regulator of antiviral RNAi and provide new potential targets for controlling plant viral diseases.
PXD054178	39167082	Molluscum contagiosum virus protein MC089 inhibits interferon regulatory factor 3 activation. 	Molluscum Contagiosum Virus Protein MC089 Inhibits Interferon Regulatory Factor 3 Activation	IKKepsilon, Innate Immunity, MAVS., MC089, Molluscum Contagiosum Virus, NAP1, TBKBP1	Molluscum contagiosum virus (MCV) is a human-specific poxvirus that causes a highly common but mild infection characterized by distinctive and persistent papular skin lesions. These lesions can persist for long periods without an effective clearance response from the host. MCV, like all poxviruses, encodes multiple known immunosuppressive proteins which target innate immune signalling pathways involved in viral nucleic acid sensing, interferon production and inflammation which should trigger antiviral immunity leading to clearance. Two major families of transcription factors responsible for driving the immune response to viruses are the NF-kappaB and the interferon regulatory factor (IRF) families. While NF-kappaB broadly drives pro-inflammatory gene expression and IRFs chiefly drive interferon induction, both collaborate in transactivating many of the same genes in a concerted immune response to viral infection. Here, we report that the MCV protein MC089 specifically inhibits IRF activation from both DNA- and RNA-sensing pathways, making it the first characterized MCV inhibitor to selectively target IRF activation to date. MC089 interacts with proteins required for IRF activation, namely IKKepsilon, TBKBP1 and NAP1. Additionally, MC089 targets RNA sensing by associating with the RNA-sensing adaptor protein mitochondrial antiviral-signalling protein on mitochondria. MC089 displays specificity in its inhibition of IRF3 activation by suppressing immunostimulatory nucleic acid-induced serine 396 phosphorylation without affecting the phosphorylation of serine 386. The selective interaction of MC089 with IRF-regulatory proteins and site-specific inhibition of IRF3 phosphorylation may offer a tool to provide novel insights into the biology of IRF3 regulation.
PXD046292	39167166	Transcriptional and secretome analysis of Rasamsonia emersonii lytic polysaccharide mono-oxygenases. 	Transcriptional and secretome analysis of Rasamsonia emersonii lytic polysaccharide mono-oxygenases	Rasamsonia emersonii, polysaccharide monooxygenase	The current study is the first to describe the temporal and differential transcriptional expression of two lytic polysaccharide monooxygenase (LPMO) genes of Rasamsonia emersonii in response to various carbon sources. The mass spectrometry based secretome analysis of carbohydrate active enzymes (CAZymes) expression in response to different carbon sources showed varying levels of LPMOs (AA9), AA3, AA7, catalase, and superoxide dismutase enzymes pointing toward the redox-interplay between the LPMOs and auxiliary enzymes. Moreover, it was observed that cello-oligosaccharides have a negative impact on the expression of LPMOs, which has not been highlighted in previous reports. The LPMO1 (30 kDa) and LPMO2 (47 kDa), cloned and expressed in Pichia pastoris, were catalytically active with (kcat/Km) of 6.6x10(-2) mg(-1) ml min(-1) and 1.8x10(-2) mg(-1) ml min(-1) against Avicel, respectively. The mass spectrometry of hydrolysis products of Avicel/carboxy methyl cellulose (CMC) showed presence of C1/C4 oxidized oligosaccharides indicating them to be Type 3 LPMOs. The 3D structural analysis of LPMO1 and LPMO2 revealed distinct arrangements of conserved catalytic residues at their active site. The developed enzyme cocktails consisting of cellulase from R. emersonii mutant M36 supplemented with recombinant LPMO1/LPMO2 resulted in significantly enhanced saccharification of steam/acid pretreated unwashed rice straw slurry from PRAJ industries (Pune, India). The current work indicates that LPMO1 and LPMO2 are catalytically efficient and have a high degree of thermostability, emphasizing their usefulness in improving benchmark enzyme cocktail performance. KEY POINTS: * Mass spectrometry depicts subtle interactions between LPMOs and auxiliary enzymes. * Cello-oligosaccharides strongly downregulated the LPMO1 expression. * Developed LPMO cocktails showed superior hydrolysis in comparison to CellicCTec3.
PXD054607	39167225	Purification, Structural Characterization, and Anticandidal Activity of a Chitin-Binding Peptide with High Similarity to Hevein and Endochitinase Isolated from Pepper Seeds. 	Purification, Structural Characterization, and Anticandidal Activity of a Chitin-binding Peptide with high Similarity to Hevein and Endochitinase Isolated from Pepper Seeds	Antimicrobial peptides, C. tropicalis, Candida albicans, Capsicum chinense, Fungi	With the emergence of multidrug-resistant microorganisms, microbial agents have become a serious global threat, affecting human health and various plants. Therefore, new therapeutic alternatives, such as chitin-binding proteins, are necessary. Chitin is an essential component of the fungal cell wall, and chitin-binding proteins exhibit antifungal activity. In the present study, chitin-binding peptides isolated from Capsicum chinense seeds were characterized and evaluated for their in vitro antimicrobial effect against the growth of Candida and Fusarium fungi. Proteins were extracted from the seeds and subsequently the chitin-binding proteins were separated by chitin affinity chromatography. After chromatography, two fractions, Cc-F1 (not retained on the column) and Cc-F2 (retained on the column), were obtained. Electrophoresis revealed major protein bands between 6.5 and 26.6 kDa for Cc-F1 and only a ~ 6.5 kDa protein band for Cc-F2, which was subsequently subjected to mass spectrometry. The protein showed similarity with hevein-like and endochitinase and was then named Cc-Hev. Data are available via ProteomeXchange with identifier PXD054607. Next, we predicted the three-dimensional structure of the peptides and performed a peptide docking with (NAG)3. Subsequently, growth inhibition assays were performed to evaluate the ability of the peptides to inhibit microorganism growth. Cc-Hev inhibited the growth of C. albicans (up to 75% inhibition) and C. tropicalis (100% inhibition) and induced a 65% decrease in cell viability for C. albicans and 100% for C. tropicalis. Based on these results, new techniques to combat fungal diseases could be developed through biotechnological applications; therefore, further studies are needed.
PXD046171	39167422	Deep Learning Powers Protein Identification from Precursor MS Information. 	Deep Learning Powers Protein Identification from Precursor MS Information	Deep Learning, MS1 Feature, Serum Proteomics, Single Cell	Proteome analysis currently heavily relies on tandem mass spectrometry (MS/MS), which does not fully utilize MS1 features, as many precursors remain unselected for MS/MS fragmentation, especially in the cases of low abundance samples and wide abundance dynamic range samples. Therefore, leveraging MS1 features as a complement to MS/MS has become an attractive option to improve the coverage of feature identification. Herein, we propose MonoMS1, an approach combining deep learning-based retention time, ion mobility, detectability prediction, and logistic regression-based scoring for MS1 feature identification. The approach achieved a significant increase in MS1 feature identification based on an E. coli data set. Application of MonoMS1 to data sets with wide dynamic range, such as human serum proteome samples, and with low sample abundance, such as single-cell proteome samples, enabled substantial complementation of MS/MS-based peptide and protein identification. This method opens a new avenue for proteomic analysis and can boost proteomic research on complex samples.
PXD048754	39167489	The structure of the Orm2-containing serine palmitoyltransferase complex reveals distinct inhibitory potentials of yeast Orm proteins. 	Yeast Serine palmitoyl transferase interaction proteomics	Orm1, Orm2, Serine palmitoyl transferase, Sphingolipid	Sphingolipid levels are crucial determinants of neurodegenerative disorders and therefore require tight regulation. The Orm protein family and ceramides inhibit the rate-limiting step of sphingolipid biosynthesis-the condensation of L-serine and palmitoyl-coenzyme A (CoA). The yeast isoforms Orm1 and Orm2 form a complex with the serine palmitoyltransferase (SPT). While Orm1 and Orm2 have highly similar sequences, they are differentially regulated, though the mechanistic details remain elusive. Here, we determine the cryoelectron microscopy structure of the SPT complex containing Orm2. Complementary in vitro activity assays and genetic experiments with targeted lipidomics demonstrate a lower activity of the SPT-Orm2 complex than the SPT-Orm1 complex. Our results suggest a higher inhibitory potential of Orm2, despite the similar structures of the Orm1- and Orm2-containing complexes. The high conservation of SPT from yeast to man implies different regulatory capacities for the three human ORMDL isoforms, which might be key for understanding their role in sphingolipid-mediated neurodegenerative disorders.
PXD054025	39168102	Proteomic landscape profiling of primary prostate cancer reveals a 16-protein panel for prognosis prediction. 	PCSHA changhai prostate cancer (PCa) proteomics	prostate cancer, survival	Prostate cancer (PCa) is the most common malignant tumor in men. Currently, there are few prognosis indicators for predicting PCa outcomes and guiding treatments. Here, we perform comprehensive proteomic profiling of 918 tissue specimens from 306 Chinese patients with PCa using data-independent acquisition mass spectrometry (DIA-MS). We identify over 10,000 proteins and define three molecular subtypes of PCa with significant clinical and proteomic differences. We develop a 16-protein panel that effectively predicts biochemical recurrence (BCR) for patients with PCa, which is validated in six published datasets and one additional 99-biopsy-sample cohort by targeted proteomics. Interestingly, this 16-protein panel effectively predicts BCR across different International Society of Urological Pathology (ISUP) grades and pathological stages and outperforms the D'Amico risk classification system in BCR prediction. Furthermore, double knockout of NUDT5 and SEPTIN8, two components from the 16-protein panel, significantly suppresses the PCa cells to proliferate, invade, and migrate, suggesting the combination of NUDT5 and SEPTIN8 may provide new approaches for PCa treatment.
PXD047855	39169123	Preliminary investigation on the impact of salty and sugary former foods on pig liver and plasma profiles using OMICS approaches. 	Evaluation of the impact of salty and sugary former food products-based diets on the serum peptidome of pigs	Peptidomics, nanoLC-MS/MS	Replacing cereals with food leftovers could reduce feed-food competition and keep nutrients and energy in the food chain. Former food products (FFPs) are industrial food leftovers no more intended for human but still suitable as alternative and sustainable feedstuffs for monogastric. In this study, omics approaches were applied to evaluate the impact of dietary FFPs on pig liver proteome and plasma peptidome. Thirty-six Swiss Large White male castrated pigs were randomly assigned to three dietary treatments [control (CTR), 30% CTR replaced with salty FFP (SA), 30% CTR replaced with sugary FFP (SU)] from the start of the growing phase (22.4 +/- 1.7 kg) until slaughtering (110 +/- 3 kg). The low number of differentially regulated proteins in each comparison matrix (SA/SU vs. CTR) and the lack of metabolic interaction indicated a marginal impact on hepatic lipid metabolism. The plasma peptidomics investigation showed low variability between the peptidome of the three dietary groups and identified three possible bioactive peptides in the SA group associated with anti-hypertension and vascular homeostasis regulation. To conclude, the limited modulation of liver proteome and plasma peptidome by the SA and SU diets strenghtened the idea of reusing FFPs as feed ingredients to make pig production more sustainable.
PXD051400	39169193	Catalytic asymmetric synthesis of meta benzene isosteres. 	Catalytic Asymmetric Synthesis of meta Benzene Isosteres	ABPP, Bioisosteres, Serine Hydrolase	Although aromatic rings are common elements in pharmaceutically active compounds, the presence of these motifs brings several liabilities with respect to the developability of a drug(1). Nonoptimal potency, metabolic stability, solubility and lipophilicity in pharmaceutical compounds can be improved by replacing aromatic rings with non-aromatic isosteric motifs(2). Moreover, whereas aromatic rings are planar and lack three-dimensionality, the binding pockets of most pharmaceutical targets are chiral. Thus, the stereochemical configuration of the isosteric replacements may offer an added opportunity to improve the affinity of derived ligands for target receptors. A notable impediment to this approach is the lack of simple and scalable catalytic enantioselective syntheses of candidate isosteres from readily available precursors. Here we present a previously unknown palladium-catalysed reaction that converts hydrocarbon-derived precursors to chiral boron-containing nortricyclanes and we show that the shape of these nortricyclanes makes them plausible isosteres for meta disubstituted aromatic rings. With chiral catalysts, the Pd-catalysed reaction can be accomplished in an enantioselective fashion and subsequent transformation of the boron group provides access to a broad array of structures. We also show that the incorporation of nortricyclanes into pharmaceutical motifs can result in improved biophysical properties along with stereochemistry-dependent activity. We anticipate that these features, coupled with the simple, inexpensive synthesis of the functionalized nortricyclane scaffold, will render this platform a useful foundation for the assembly of new biologically active agents.
